Tournament,Player,Nation,Age,Min,Market_value,Shot_Stopping_SoTA,Shot_Stopping_GA,Shot_Stopping_Saves,Shot_Stopping_Save%,Shot_Stopping_PSxG,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal_Kicks_Att,Goal_Kicks_Launch%,Goal_Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist
Serie A,Vincenzo Fiorillo,it ITA,31,90.0,300000,8.0,5.0,3.0,37.5,2.7,11.0,17.0,64.7,19.0,4.0,36.8,36.4,12.0,83.3,50.8,16.0,0.0,0.0,0.0,4.0
Serie A,Alessandro Berardi,it ITA,31,59.0,50000,4.0,1.5,2.5,78.55,1.15,4.5,14.0,38.35,15.0,2.0,61.800000000000004,41.35,5.5,100.0,62.6,9.0,0.0,0.0,0.0,4.5
Serie A,Lorenzo Montipò,it ITA,26,90.0,4000000,4.569767441860465,1.7790697674418605,2.86046511627907,58.376744186046515,1.4523255813953488,5.906976744186046,16.38372093023256,37.259302325581395,23.75581395348837,4.034883720930233,51.54418604651162,40.127906976744185,7.244186046511628,58.61046511627907,43.28604651162791,15.267441860465116,0.5348837209302325,3.8372093023255807,0.9651162790697675,12.04767441860465
Serie A,Luigi Sepe,it ITA,31,89.65467625899281,1500000,5.223021582733813,1.6978417266187051,3.539568345323741,69.57122302158274,1.5712230215827339,7.676258992805756,16.633093525179856,47.07338129496403,25.74820143884892,4.0,44.26474820143885,37.475539568345326,9.611510791366907,50.82589928057554,39.82446043165468,18.093525179856115,0.7122302158273381,3.9705035971223026,0.5107913669064749,10.712230215827338
Serie A,Federico Brancolini,it ITA,19,6.0,200000,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,2.0,0.0,0.0,24.0,1.0,100.0,66.0,0.0,0.0,0.0,0.0,18.0
Serie A,Wladimiro Falcone,it ITA,27,88.33333333333333,3500000,4.962962962962963,1.3333333333333333,3.7037037037037037,74.95185185185184,1.3222222222222224,5.185185185185185,16.62962962962963,34.666666666666664,26.37037037037037,4.407407407407407,42.11111111111112,36.31481481481482,7.555555555555555,72.11851851851853,48.785185185185185,15.962962962962964,0.7037037037037037,4.2555555555555555,0.6296296296296297,10.91111111111111
Serie A,Daniele Padelli,it ITA,36,83.57142857142857,300000,4.428571428571429,1.8571428571428572,2.5714285714285716,63.471428571428575,1.7142857142857142,2.142857142857143,8.428571428571429,21.25714285714286,23.857142857142858,4.857142857142857,24.985714285714284,28.871428571428574,7.142857142857143,26.642857142857142,30.285714285714285,16.571428571428573,0.42857142857142855,2.0142857142857147,0.7142857142857143,12.114285714285714
Serie A,Marco Silvestri,it ITA,31,90.0,5000000,4.231404958677686,1.3140495867768596,2.950413223140496,71.49421487603306,1.2479338842975205,5.140495867768595,16.570247933884296,32.22066115702479,19.694214876033058,2.71900826446281,54.06611570247934,40.110743801652895,8.239669421487603,66.4603305785124,47.59338842975207,14.074380165289256,0.38016528925619836,2.665289256198347,0.4297520661157025,10.709090909090909
Serie A,Nicola Bagnolini,it ITA,18,3.0,200000,1.0,0.0,1.0,100.0,0.2,0.0,4.0,0.0,3.0,0.0,100.0,61.0,1.0,100.0,60.0,3.0,0.0,0.0,0.0,0.0
Serie A,Federico Ravaglia,it ITA,21,90.0,450000,4.75,2.5,2.5,45.25,1.7750000000000001,2.0,5.75,39.1,28.5,4.25,14.5,24.525,5.75,17.5,21.975,8.25,0.0,0.0,2.0,26.725
Serie A,Francesco Bardi,it ITA,30,89.4,500000,4.2,1.4,2.8,50.08,1.3,3.6,11.8,28.04,18.8,4.2,44.040000000000006,34.3,5.6,43.36,32.12,11.6,1.0,10.58,0.0,6.26
Serie A,Salvatore Sirigu,it ITA,35,89.5965909090909,800000,4.5227272727272725,1.4602272727272727,3.0511363636363638,68.78863636363636,1.3744318181818185,6.721590909090909,15.363636363636363,44.23068181818182,24.079545454545453,3.5454545454545454,41.42215909090908,35.44147727272727,8.392045454545455,60.23636363636364,42.403977272727275,15.3125,0.5909090909090909,3.75,0.8011363636363636,12.752272727272725
Serie A,Pietro Terracciano,it ITA,32,88.27692307692308,2000000,3.3846153846153846,1.2769230769230768,2.1538461538461537,55.15384615384615,1.066153846153846,4.984615384615385,12.876923076923077,39.895384615384614,32.49230769230769,4.4,33.87384615384616,33.40153846153846,6.415384615384616,33.4,33.8276923076923,10.938461538461539,0.5846153846153846,6.972307692307692,1.4,14.115384615384615
Serie A,Luca Gemello,it ITA,21,90.0,300000,3.0,0.0,3.0,100.0,0.2,6.0,24.0,25.0,31.0,1.0,67.7,47.8,3.0,100.0,56.3,10.0,0.0,0.0,1.0,21.0
Serie A,Etrit Berisha,al ALB,33,90.0,600000,4.117647058823529,1.3058823529411765,2.847058823529412,66.37529411764706,1.2541176470588236,5.776470588235294,13.976470588235294,41.19529411764706,21.6,5.152941176470589,36.91294117647059,34.048235294117646,7.988235294117647,71.80117647058823,50.01764705882354,13.776470588235295,0.5294117647058824,4.252941176470587,0.8823529411764706,13.663529411764706
Serie A,Carlo Pinsoglio,it ITA,32,41.0,300000,1.8,1.0,0.8,46.660000000000004,0.76,1.4,2.2,32.0,9.4,1.8,6.540000000000001,25.06,3.8,7.140000000000001,21.16,7.2,0.2,2.8600000000000003,0.2,8.0
