Player,Att,Pass_Types_Live,Pass_Types_Dead,Pass_Types_FK,Pass_Types_TB,Pass_Types_Sw,Pass_Types_Crs,Pass_Types_TI,Pass_Types_CK,Corner_Kicks_In,Corner_Kicks_Out,Corner_Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
Gianluca Di Chiara,48.69230769230769,40.53846153846154,7.6923076923076925,1.3846153846153846,0.0,0.3846153846153846,2.6923076923076925,5.769230769230769,0.5384615384615384,0.1538461538461538,0.3076923076923077,0.0,37.30769230769231,0.4615384615384615,1.0769230769230769
Massimo Coda,14.666666666666666,12.958333333333334,1.5416666666666667,0.0,0.125,0.3333333333333333,0.2916666666666667,0.0,0.0,0.0,0.0,0.0,10.125,0.1666666666666666,0.4583333333333333
Karamoko Cissé,2.5,2.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5
George Pușcaș,13.818181818181818,12.545454545454543,1.2727272727272727,0.0,0.0,0.0,0.3636363636363636,0.0,0.0,0.0,0.0,0.0,10.545454545454543,0.0,0.4545454545454545
Christian Puggioni,34.52173913043478,22.47826086956522,11.91304347826087,3.3043478260869565,0.0,0.2608695652173913,0.0,0.0,0.0,0.0,0.0,0.0,25.43478260869565,0.1304347826086956,0.0
Daniel Pavlović,38.54545454545455,29.09090909090909,8.818181818181818,2.1818181818181817,0.0,0.0909090909090909,3.8181818181818175,5.454545454545454,1.181818181818182,0.6363636363636364,0.5454545454545454,0.0,24.90909090909091,0.6363636363636364,1.0
Vasilis Torosidis,26.1875,20.625,5.3125,0.5,0.0,0.3125,1.5625,4.8125,0.0,0.0,0.0,0.0,19.25,0.25,0.75
Saphir Taïder,24.22222222222222,23.77777777777778,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.0,0.1111111111111111,0.0,0.0,0.0,21.77777777777778,0.0,0.4444444444444444
Davide Astori,61.36,58.6,2.56,2.4,0.0,0.6,0.72,0.16,0.0,0.0,0.0,0.0,52.76,0.2,0.36
Rafik Zekhnini,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Éder,8.793103448275861,8.310344827586206,0.4827586206896552,0.0689655172413793,0.0344827586206896,0.0,0.5862068965517241,0.1034482758620689,0.0344827586206896,0.0344827586206896,0.0,0.0,7.137931034482759,0.0,0.3448275862068966
Dario Dainelli,28.571428571428573,26.571428571428573,1.809523809523809,1.809523809523809,0.0,0.5238095238095238,0.0476190476190476,0.0,0.0,0.0,0.0,0.0,22.142857142857142,0.1904761904761904,0.0952380952380952
