Tournament,Club,Player,Number,Date,Market_value,Nation,Pos,Position,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA,GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_Prog,Passes_Succ,Dribbles_Att
Ligue 1,Ogc Nizza,Morgan Schneiderlin,18.0,2022-11-02,2500000,fr FRA,DM,Midfielder,29,63.64485981308411,0.0,0.0186915887850467,0.0,0.0,0.2429906542056074,0.02803738317757,0.2242990654205607,0.0373831775700934,46.953271028037385,1.7289719626168225,1.588785046728972,0.7102803738317757,0.014018691588785,0.014018691588785,0.0121495327102803,0.9345794392523364,0.0467289719626168,34.47663551401869,40.0,82.46355140186917,2.485981308411215,0.2710280373831775,0.3831775700934579
Ligue 1,Ogc Nizza,Robson Bambu,3.0,2022-11-14,2500000,br BRA,CB,Defender,22,69.73333333333333,0.0,0.0,0.0,0.0,0.1333333333333333,0.0666666666666666,0.2,0.0666666666666666,62.4,1.0666666666666669,0.6666666666666666,0.5333333333333333,0.0066666666666666,0.0066666666666666,0.0,0.2,0.0,48.0,55.13333333333333,82.84666666666665,1.0666666666666669,0.2,0.4
Ligue 1,Fc Stade Rennes,Andy Diouf,36.0,2022-11-10,1200000,fr FRA,CM,Midfielder,18,4.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,2.333333333333333,0.1666666666666666,0.0,0.1666666666666666,0.0,0.0,0.0499999999999999,0.1666666666666666,0.0,1.3333333333333333,1.8333333333333333,69.45,0.0,0.0,0.0
Ligue 1,Fc Stade Rennes,Alfred Gomis,1.0,2022-11-02,3000000,sn SEN,GK,Goal Keeper,24,87.8974358974359,0.0,0.0,0.0,0.0,0.0,0.0,0.017094017094017,0.0,35.47008547008547,0.0341880341880341,0.0598290598290598,0.017094017094017,0.0,0.0,0.0,0.1196581196581196,0.0,23.256410256410252,32.87179487179487,70.8923076923077,0.0,0.0085470085470085,0.0085470085470085
Ligue 1,Montpellier Hsc,Nicholas Gioacchini,23.0,2022-11-08,1200000,us USA,RW,Forward,21,17.75,0.0,0.0714285714285714,0.0,0.0,0.3928571428571428,0.0714285714285714,0.0,0.0,8.107142857142858,0.25,0.1428571428571428,0.2857142857142857,0.0535714285714285,0.0535714285714285,0.025,0.5,0.1428571428571428,3.321428571428572,5.214285714285714,55.13928571428571,0.25,0.2142857142857142,0.5714285714285714
Ligue 1,Montpellier Hsc,Thibaut Vargas,23.0,2022-10-28,800000,fr FRA,RM,Midfielder,19,50.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.666666666666668,1.0,0.0,0.3333333333333333,0.0,0.0,0.0333333333333333,1.6666666666666667,0.3333333333333333,14.0,21.0,54.53333333333333,0.3333333333333333,0.3333333333333333,2.333333333333333
Ligue 1,Montpellier Hsc,Arnaud Souquet,2.0,2022-11-02,2000000,fr FRA,FW,Forward,30,69.425,0.0333333333333333,0.05,0.0,0.0,0.3833333333333333,0.0916666666666666,0.1666666666666666,0.0,47.46666666666667,2.308333333333333,0.925,0.9083333333333332,0.0133333333333333,0.0125,0.0408333333333333,1.3083333333333331,0.1333333333333333,30.366666666666667,39.21666666666667,75.09750000000001,2.066666666666667,0.65,1.2416666666666667
Ligue 1,Montpellier Hsc,Ambroise Oyongo,8.0,2022-10-07,1500000,cm CMR,LB,Defender,30,72.63513513513513,0.054054054054054,0.0135135135135135,0.0,0.0,0.3918918918918919,0.1081081081081081,0.1891891891891892,0.0,45.91891891891892,1.3108108108108107,1.0135135135135136,0.5945945945945946,0.027027027027027,0.027027027027027,0.0297297297297297,1.337837837837838,0.081081081081081,27.17567567567568,37.9054054054054,68.98783783783784,2.4054054054054053,0.7567567567567568,1.4864864864864864
Ligue 1,Stade Reims,Anastasios Donis,17.0,2022-05-30,1000000,gr GRE,FW,Forward,25,34.70967741935484,0.0,0.0,0.0,0.0,0.8709677419354839,0.2258064516129032,0.032258064516129,0.064516129032258,12.35483870967742,0.4838709677419355,0.032258064516129,0.1612903225806451,0.0806451612903225,0.0806451612903225,0.0193548387096774,0.5806451612903226,0.0,4.161290322580645,7.709677419354839,51.39354838709678,0.0967741935483871,0.9032258064516128,1.7096774193548387
Ligue 1,Stade Reims,Moussa Doumbia,25.0,2022-10-28,1500000,ml MLI,"FW,RB",Forward,27,53.123456790123456,0.0617283950617283,0.037037037037037,0.0123456790123456,0.0246913580246913,1.123456790123457,0.345679012345679,0.1604938271604938,0.0123456790123456,29.71604938271605,0.6666666666666666,0.3209876543209876,0.3209876543209876,0.074074074074074,0.0567901234567901,0.074074074074074,2.098765432098765,0.2098765432098765,16.950617283950617,21.85185185185185,76.67530864197529,1.345679012345679,1.1851851851851851,2.4444444444444446
Ligue 1,Montpellier Hsc,Thuler,26.0,2022-05-30,2000000,br BRA,CB,Defender,22,53.4375,0.0,0.0,0.0,0.0,0.0625,0.0,0.1875,0.0625,25.9375,1.3125,0.5625,0.5625,0.00625,0.00625,0.0,0.0625,0.0,17.1875,20.75,77.68125,0.625,0.0,0.0
Ligue 1,Stade Reims,Ilan Kebbal,20.0,2022-10-28,3000000,dz ALG,CM,Midfielder,23,57.16129032258065,0.032258064516129,0.1290322580645161,0.0,0.0,0.8709677419354839,0.1935483870967742,0.032258064516129,0.0,33.41935483870968,1.0,0.4193548387096774,0.5161290322580645,0.0612903225806451,0.0612903225806451,0.1032258064516129,2.3225806451612905,0.2258064516129032,19.90322580645161,26.741935483870968,74.58709677419354,3.064516129032258,0.935483870967742,1.7096774193548387
Ligue 1,Fc Stade Rennes,Jérémy Gélin,26.0,2022-10-28,2000000,fr FRA,"CB,CM",Defender,22,70.578125,0.0,0.03125,0.0,0.0,0.234375,0.03125,0.09375,0.015625,49.3125,1.265625,1.109375,0.78125,0.0265625,0.0265625,0.0109375,0.84375,0.078125,36.515625,42.71875,85.1578125,2.890625,0.140625,0.203125
Ligue 1,Stade Reims,Valon Berisha,7.0,2022-05-30,2500000,xk KVX,CM,Midfielder,26,48.5625,0.0,0.0833333333333333,0.0,0.0,0.5416666666666666,0.0625,0.0833333333333333,0.0208333333333333,33.5,1.2291666666666667,0.6875,0.6041666666666666,0.0270833333333333,0.0270833333333333,0.0604166666666666,1.5416666666666667,0.2083333333333333,22.52083333333333,28.25,74.21041666666667,2.1875,0.2916666666666667,0.4791666666666667
Ligue 1,Stade Reims,Samuel Koeberlé,34.0,2022-11-02,150000,fr FRA,FW,Forward,17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0
Ligue 1,Montpellier Hsc,Sacha Delaye,19.0,2022-11-02,500000,fr FRA,LW,Forward,20,19.266666666666666,0.0666666666666666,0.0666666666666666,0.0,0.0,0.3333333333333333,0.0666666666666666,0.0,0.0,8.866666666666667,0.6,0.1333333333333333,0.0666666666666666,0.0066666666666666,0.0066666666666666,0.06,0.6,0.1333333333333333,4.8,6.8,63.51333333333333,0.5333333333333333,0.2,0.2
Ligue 1,Stade Reims,Martin Adeline,18.0,2022-11-02,800000,fr FRA,CM,Midfielder,18,37.083333333333336,0.0,0.0,0.0,0.0,0.4166666666666667,0.0833333333333333,0.1666666666666666,0.0,20.33333333333333,1.5,1.0833333333333333,0.25,0.0333333333333333,0.0333333333333333,0.0333333333333333,1.0,0.0,10.833333333333334,15.083333333333334,69.66666666666667,0.9166666666666666,0.5833333333333334,1.0
Ligue 1,Olympique Lyon,Lenny Pintor,17.0,2022-10-28,1000000,fr FRA,FW,Forward,18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ligue 1,Olympique Lyon,Xherdan Shaqiri,23.0,2022-11-08,4000000,ch SUI,"AM,RW",Midfielder,29,59.7032967032967,0.1868131868131868,0.1648351648351648,0.0,0.0109890109890109,1.3186813186813189,0.5054945054945055,0.0989010989010989,0.0,36.18681318681319,0.5604395604395604,0.2857142857142857,0.2197802197802197,0.1153846153846153,0.1065934065934065,0.145054945054945,2.5824175824175826,0.2967032967032967,23.296703296703296,30.93406593406593,74.67032967032966,2.8461538461538463,0.6373626373626373,1.1318681318681318
Ligue 1,Olympique Lyon,Damien Da Silva,21.0,2022-11-02,600000,fr FRA,CB,Defender,34,83.7517730496454,0.0780141843971631,0.0212765957446808,0.0,0.0,0.5177304964539007,0.1914893617021276,0.1985815602836879,0.0141843971631205,59.347517730496456,1.1063829787234043,1.198581560283688,0.9858156028368794,0.0489361702127659,0.0489361702127659,0.0170212765957446,0.5460992907801419,0.0567375886524822,43.00709219858156,50.06382978723404,84.51631205673759,2.141843971631206,0.2411347517730496,0.2836879432624113
Ligue 1,Olympique Lyon,Jason Denayer,5.0,2022-12-15,8000000,be BEL,CB,Defender,26,83.34313725490196,0.0588235294117647,0.0098039215686274,0.0,0.0,0.3039215686274509,0.1274509803921568,0.0490196078431372,0.0,66.34313725490196,0.8431372549019608,0.8725490196078431,1.0980392156862746,0.0411764705882352,0.0411764705882352,0.0049019607843137,0.4509803921568627,0.0392156862745098,55.34313725490196,58.91176470588236,91.82745098039216,2.372549019607843,0.2745098039215686,0.3627450980392157
Ligue 1,Stade Reims,Fodé Doucouré,13.0,2022-12-20,500000,ml MLI,RB,Defender,20,48.7,0.0,0.0,0.0,0.0,0.3,0.2,0.0,0.0,33.1,2.3,0.8,0.3,0.03,0.03,0.05,1.3,0.0,20.7,27.7,66.55,1.2,0.7,1.0
Ligue 1,Rc Lens,Corentin Jean,25.0,2022-11-08,1000000,fr FRA,FW,Forward,26,33.96774193548387,0.032258064516129,0.021505376344086,0.0,0.0,0.7204301075268817,0.2795698924731182,0.0967741935483871,0.0,14.494623655913978,0.3655913978494624,0.2043010752688172,0.3333333333333333,0.0634408602150537,0.0634408602150537,0.0526881720430107,1.1505376344086022,0.1182795698924731,7.516129032258065,10.946236559139784,64.65913978494623,0.5376344086021505,0.3978494623655914,0.7311827956989247
Ligue 1,Rc Lens,Charles Boli,27.0,2022-10-28,400000,fr FRA,"RM,CB",Midfielder,23,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,4.0,5.0,72.475,0.0,0.0,0.0
Ligue 1,Rc Lens,Jonathan Varane,34.0,2022-06-02,250000,fr FRA,CM,Midfielder,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0
