Tournament,Player,Number,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA,GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_Prog,Passes_Succ,Dribbles_Att
Premier League,Erik Durm,37.0,de GER,RB,26,73.39285714285714,0.0,0.03571428571428571,0.0,0.0,0.35714285714285715,0.0,0.0,0.0,46.25,1.25,1.4642857142857142,0.9285714285714286,0.014285714285714287,0.014285714285714287,0.017857142857142856,1.3214285714285714,0.07142857142857142,26.428571428571427,38.82142857142857,64.50714285714285,1.6071428571428572,0.42857142857142855,0.75
Premier League,Elias Kachunga,9.0,cd COD,RM,26,64.38461538461539,0.02564102564102564,0.02564102564102564,0.0,0.0,0.6666666666666666,0.20512820512820512,0.07692307692307693,0.0,24.46153846153846,1.3333333333333333,0.15384615384615385,0.7692307692307693,0.07435897435897436,0.07435897435897436,0.023076923076923078,1.0769230769230769,0.02564102564102564,11.564102564102564,17.564102564102566,64.94615384615385,0.5384615384615384,0.5897435897435898,1.3333333333333333
Premier League,Alfie Mawson,26.0,eng ENG,CB,24,85.86792452830188,0.03773584905660377,0.018867924528301886,0.0,0.0,0.41509433962264153,0.11320754716981132,0.09433962264150944,0.0,51.943396226415096,0.8113207547169812,1.0188679245283019,1.150943396226415,0.035849056603773584,0.035849056603773584,0.011320754716981133,0.33962264150943394,0.018867924528301886,34.20754716981132,42.20754716981132,78.31886792452829,1.9622641509433962,0.4339622641509434,0.49056603773584906
Premier League,Ander Herrera,21.0,es ESP,CB,29,57.125,0.0625,0.10714285714285714,0.0,0.0,0.6875,0.16964285714285715,0.16964285714285715,0.008928571428571428,56.32142857142857,1.9107142857142858,1.125,1.2410714285714286,0.04107142857142857,0.04107142857142857,0.08035714285714286,1.6964285714285714,0.24107142857142858,43.830357142857146,49.098214285714285,87.11517857142857,3.2142857142857144,0.375,0.6339285714285714
Premier League,Antonio Valencia,25.0,ec ECU,"WB,RB",33,86.64864864864865,0.08108108108108109,0.02702702702702703,0.0,0.0,0.4864864864864865,0.08108108108108109,0.24324324324324326,0.0,70.13513513513513,1.7567567567567568,1.4324324324324325,1.5135135135135136,0.008108108108108109,0.008108108108108109,0.04054054054054055,1.972972972972973,0.05405405405405406,51.37837837837838,61.891891891891895,82.56486486486487,2.3783783783783785,0.8648648648648649,1.4594594594594594
Premier League,Marcus Bettinelli,1.0,eng ENG,GK,26,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,38.42857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,22.857142857142858,35.142857142857146,64.72857142857143,0.0,0.0,0.0
Premier League,Isaac Mbenza,18.0,be BEL,RW,22,49.42622950819672,0.14754098360655737,0.01639344262295082,0.0,0.0,1.2131147540983607,0.4262295081967213,0.06557377049180328,0.0,19.081967213114755,0.39344262295081966,0.13114754098360656,0.18032786885245902,0.1327868852459016,0.1327868852459016,0.03934426229508197,1.3114754098360655,0.04918032786885246,9.836065573770492,14.754098360655737,66.54262295081966,0.5245901639344263,0.4098360655737705,0.7049180327868853
Premier League,Rajiv van La Parra,17.0,nl NED,LW,27,66.86842105263158,0.07894736842105263,0.0,0.02631578947368421,0.02631578947368421,1.236842105263158,0.3684210526315789,0.07894736842105263,0.02631578947368421,33.05263157894737,1.2894736842105263,0.6578947368421053,0.7105263157894737,0.0868421052631579,0.06578947368421054,0.02368421052631579,1.5,0.0,16.07894736842105,22.13157894736842,66.5842105263158,1.263157894736842,1.9736842105263157,3.8421052631578947
Premier League,Shinji Okazaki,20.0,jp JPN,FW,32,37.534246575342465,0.0958904109589041,0.0547945205479452,0.0,0.0,0.7123287671232876,0.3150684931506849,0.0410958904109589,0.0,13.506849315068493,0.5068493150684932,0.1917808219178082,0.3698630136986301,0.12876712328767123,0.12876712328767123,0.03287671232876712,0.8767123287671232,0.1095890410958904,6.602739726027397,9.082191780821917,72.09178082191781,0.410958904109589,0.3013698630136986,0.8082191780821918
Premier League,Leon Balogun,14.0,ng NGA,CB,30,74.25,0.125,0.0,0.0,0.0,0.125,0.125,0.25,0.0,37.125,1.5,2.125,0.625,0.0125,0.0125,0.0,0.0,0.0,21.0,27.75,68.3875,0.75,0.0,0.125
Premier League,Beram Kayal,7.0,il ISR,FW,30,45.54054054054054,0.02702702702702703,0.02702702702702703,0.0,0.0,0.24324324324324326,0.08108108108108109,0.16216216216216217,0.0,19.72972972972973,1.2432432432432432,0.7297297297297297,0.7567567567567568,0.016216216216216217,0.016216216216216217,0.04054054054054055,0.6756756756756757,0.08108108108108109,10.162162162162161,14.0,68.94324324324324,1.0,0.43243243243243246,0.8108108108108109
Premier League,Tommy Smith,2.0,eng ENG,RB,26,78.07692307692308,0.0,0.02564102564102564,0.0,0.0,0.28205128205128205,0.05128205128205128,0.23076923076923078,0.02564102564102564,52.256410256410255,1.641025641025641,1.1282051282051282,0.8717948717948718,0.0,0.0,0.05128205128205128,1.2564102564102564,0.07692307692307693,31.82051282051282,44.794871794871796,70.23076923076923,1.5128205128205128,0.3076923076923077,0.46153846153846156
Premier League,Jon Gorenc Stanković,27.0,si SVN,CM,22,65.0,0.09090909090909091,0.0,0.0,0.0,0.8181818181818182,0.18181818181818182,0.18181818181818182,0.0,35.45454545454545,2.3636363636363638,0.8181818181818182,1.4545454545454546,0.1,0.1,0.009090909090909092,0.7272727272727273,0.0,20.363636363636363,27.0,68.92727272727272,1.1818181818181819,0.09090909090909091,0.18181818181818182
Premier League,Ramadan Sobhi,14.0,eg EGY,FW,21,47.96296296296296,0.07407407407407407,0.0,0.0,0.0,0.48148148148148145,0.2222222222222222,0.07407407407407407,0.0,23.814814814814813,1.1851851851851851,0.5555555555555556,0.5925925925925926,0.048148148148148155,0.048148148148148155,0.040740740740740744,1.0740740740740742,0.0,13.814814814814815,18.25925925925926,68.19999999999999,1.2222222222222223,1.1851851851851851,2.074074074074074
