Player,Touches_Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Touches_Live,Dribbles_Succ,Dribbles_Att,Dribbles_Succ%,Dribbles_Mis,Dribbles_Dis,Receiving_Rec,Receiving_Prog
Paul Verhaegh,61.09090909090909,2.696969696969697,16.393939393939394,32.666666666666664,12.575757575757576,0.3333333333333333,61.03030303030303,0.1515151515151515,0.3939393939393939,13.636363636363637,0.4242424242424242,0.4545454545454545,37.72727272727273,1.818181818181818
Yoric Ravet,22.357142857142858,0.6428571428571429,2.857142857142857,8.071428571428571,11.785714285714286,1.5,22.357142857142858,0.7142857142857143,1.3571428571428572,28.092857142857145,1.2857142857142858,0.8571428571428571,13.285714285714286,2.642857142857143
Patrick Kammerbauer,6.0,1.0,1.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Haji Wright,9.571428571428571,0.0,0.7142857142857143,4.0,4.857142857142857,1.2857142857142858,9.571428571428571,0.4285714285714285,1.1428571428571428,23.814285714285717,1.8571428571428568,1.0,7.142857142857143,2.7142857142857144
Antonis Aidonis,23.5,0.0,3.0,9.5,11.0,0.5,23.5,0.0,0.5,0.0,0.5,0.0,8.5,0.5
John Yeboah,14.0,0.0,3.0,5.5,5.5,1.5,14.0,1.0,1.5,33.35,0.0,1.0,10.0,1.5
Simon Rhein,42.125,2.375,13.5,24.875,4.25,0.125,42.125,0.625,0.75,43.75,0.625,0.625,25.375,0.0
Adam Zreľák,21.642857142857142,0.7857142857142857,2.2142857142857144,10.428571428571429,9.142857142857142,2.571428571428572,21.642857142857142,0.0714285714285714,0.4285714285714285,7.142857142857143,2.142857142857143,0.5,14.142857142857142,3.571428571428572
Chima Okoroji,22.5,0.0,8.5,9.0,5.0,0.5,22.5,0.5,1.5,16.65,1.0,2.0,11.5,0.5
Christian Mathenia,37.73913043478261,31.608695652173918,37.58695652173913,0.1739130434782608,0.0,0.0,37.73913043478261,0.0217391304347826,0.0217391304347826,2.1739130434782608,0.0434782608695652,0.0,15.130434782608695,0.0
