Tournament,Player,Nation,Age,Min,Shot_Stopping_SoTA,Shot_Stopping_GA,Shot_Stopping_Saves,Shot_Stopping_Save%,Shot_Stopping_PSxG,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal_Kicks_Att,Goal_Kicks_Launch%,Goal_Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist
La Liga,Iago Herrerín,es ESP,31,89.43181818181819,3.090909090909091,1.0681818181818181,2.0,68.53636363636363,0.9772727272727271,10.136363636363637,23.181818181818183,43.5,25.636363636363637,3.272727272727273,65.31363636363636,45.52045454545454,6.909090909090909,90.825,62.054545454545455,13.659090909090908,0.6818181818181818,4.486363636363635,0.9772727272727273,15.54090909090909
La Liga,Antonio Adán,es ESP,32,87.96875,4.375,1.71875,2.75,63.684374999999996,1.4031249999999997,5.6875,15.90625,36.768750000000004,31.875,4.15625,35.109375,32.825,8.28125,63.415625,45.903125,15.21875,0.53125,3.003125,0.6875,12.109375
La Liga,Juan Soriano,es ESP,22,89.93333333333334,3.3333333333333335,1.3333333333333333,2.066666666666667,58.84666666666667,1.2866666666666666,4.6,17.333333333333332,27.72666666666667,22.466666666666665,5.733333333333333,51.013333333333335,41.266666666666666,7.133333333333334,76.66,56.75333333333333,11.533333333333333,0.5333333333333333,5.473333333333333,0.8666666666666667,14.033333333333335
La Liga,Daniel Martín,es ESP,21,88.5,4.0,2.0,2.0,56.15,1.3166666666666667,3.8333333333333335,9.666666666666666,43.4,24.5,5.666666666666667,30.23333333333333,31.183333333333334,6.0,46.083333333333336,43.13333333333333,11.5,0.3333333333333333,3.9,1.3333333333333333,16.099999999999998
La Liga,Iván Cuéllar,es ESP,35,89.9375,3.6770833333333335,1.1875,2.4895833333333335,67.23645833333335,1.1635416666666667,8.708333333333334,23.5,37.66979166666666,23.614583333333332,3.0104166666666665,69.43958333333333,47.70104166666667,7.802083333333333,91.45833333333333,62.12291666666666,14.78125,0.6979166666666666,5.177083333333333,1.1770833333333333,13.547916666666671
La Liga,Miguel Ángel Moyá,es ESP,35,88.60606060606061,3.5454545454545454,1.0606060606060606,2.484848484848485,67.8090909090909,1.0484848484848484,6.666666666666667,13.06060606060606,53.72424242424242,28.363636363636363,3.515151515151515,29.62424242424243,32.27575757575758,7.484848484848484,63.07272727272728,43.14848484848484,13.242424242424242,0.6363636363636364,4.642424242424242,1.7878787878787878,16.933333333333334
La Liga,Jokin Ezkieta,es ESP,24,90.0,3.0,2.0,1.0,33.3,1.5,1.0,4.0,25.0,18.0,6.0,11.1,26.2,7.0,28.6,30.4,16.0,0.0,0.0,2.0,30.5
La Liga,Yoel,es ESP,32,84.54545454545455,3.5454545454545454,1.2727272727272727,2.1818181818181817,58.26363636363636,1.4090909090909092,9.454545454545455,22.90909090909091,42.981818181818184,25.181818181818183,3.4545454545454546,65.89090909090909,46.90909090909091,6.454545454545454,96.36363636363636,67.01818181818183,11.0,0.36363636363636365,2.6636363636363636,2.0,17.400000000000002
La Liga,Rubén Yáñez,es ESP,27,90.0,3.0,1.2,1.8,76.92,1.09,7.9,18.3,41.81,20.3,3.3,62.35,43.28,6.8,73.91,50.910000000000004,12.7,0.5,4.51,0.4,10.65
La Liga,Rubén,es ESP,36,84.96,3.92,1.74,2.2,50.868,1.454,6.54,16.76,40.078,17.86,3.38,58.04200000000001,42.444,7.8,76.082,54.264,13.84,0.58,3.8379999999999996,0.58,11.187999999999999
La Liga,Ángel,es ESP,18,90.0,9.0,2.0,6.0,88.9,3.1,9.0,24.0,37.5,14.0,0.0,71.4,43.7,17.0,82.4,54.8,20.0,0.0,0.0,0.0,7.7
