Player,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,Prog
Luca Antei,39.5,45.625,84.425,843.5,302.75,9.625,10.375,94.025,24.625,26.25,92.5625,4.875,8.625,50.95,0.0,0.0,0.0,0.0,2.125,0.0,0.0,1.5
Ledian Memushaj,31.88235294117647,40.11764705882353,78.32941176470588,484.11764705882354,184.1764705882353,17.41176470588235,19.11764705882353,89.88235294117646,10.176470588235292,12.764705882352942,72.52941176470588,2.4705882352941178,4.647058823529412,49.85294117647059,0.0,0.0647058823529411,0.0529411764705882,1.1176470588235294,3.4705882352941178,0.4705882352941176,0.1176470588235294,2.9411764705882355
Achraf Lazaar,13.11111111111111,18.77777777777778,62.833333333333336,201.11111111111111,43.55555555555556,7.111111111111111,8.555555555555555,77.34444444444445,4.0,5.333333333333333,68.56666666666666,1.2222222222222223,3.2222222222222223,27.58888888888889,0.0,0.0222222222222222,0.0111111111111111,0.3333333333333333,0.4444444444444444,0.4444444444444444,0.3333333333333333,0.2222222222222222
Pietro Iemmello,10.0,12.9375,77.83125,148.6875,20.0625,5.3125,6.4375,81.16874999999999,3.25,4.1875,75.2125,0.8125,0.875,54.6875,0.0625,0.08125,0.0375,0.5,0.6875,0.125,0.0,0.375
Timo Letschert,25.571428571428573,31.428571428571427,83.21428571428571,452.2857142857143,216.7142857142857,11.428571428571429,12.285714285714286,78.77142857142857,11.0,14.0,79.58571428571429,2.4285714285714284,4.142857142857143,49.05714285714286,0.0,0.0,0.0,0.1428571428571428,1.8571428571428568,0.0,0.0,1.8571428571428568
Aleandro Rosi,23.5,33.958333333333336,69.3125,369.125,143.20833333333334,13.0,15.416666666666666,85.05416666666666,8.916666666666666,13.125,67.30833333333334,1.2916666666666667,3.75,27.84583333333333,0.0416666666666666,0.0458333333333333,0.0125,0.2916666666666667,2.125,0.1666666666666666,0.125,1.7083333333333333
Maxi López,8.678571428571429,13.357142857142858,62.96428571428572,112.14285714285714,28.642857142857142,5.142857142857143,7.357142857142857,66.72857142857143,2.5,3.678571428571429,54.71428571428572,0.3214285714285714,0.7142857142857143,21.428571428571427,0.0714285714285714,0.0535714285714285,0.0178571428571428,0.75,0.8214285714285714,0.5,0.0,1.2142857142857142
Ricky Álvarez,11.454545454545457,15.0,70.89090909090909,167.36363636363637,41.0,7.0,8.090909090909092,79.30909090909091,3.8181818181818175,4.727272727272728,75.52727272727272,0.5454545454545454,1.5454545454545454,15.154545454545454,0.0909090909090909,0.0545454545454545,0.0363636363636363,0.5454545454545454,0.7272727272727273,0.5454545454545454,0.1818181818181818,0.8181818181818182
Bruno Gaspar,31.266666666666666,38.66666666666666,79.68666666666667,515.2,179.33333333333334,14.266666666666667,15.466666666666669,92.28,13.533333333333331,16.6,82.61333333333332,2.4,4.266666666666667,39.96666666666667,0.1333333333333333,0.0466666666666666,0.0466666666666666,0.6666666666666666,2.333333333333333,0.8,0.4,2.4
Andrea Cossu,6.818181818181818,11.272727272727272,54.96363636363637,123.8181818181818,32.36363636363637,3.1818181818181817,3.909090909090909,73.86363636363636,2.4545454545454546,3.5454545454545454,58.33636363636364,1.0,3.0,31.23636363636364,0.0909090909090909,0.0272727272727272,0.0272727272727272,0.3636363636363636,0.3636363636363636,0.1818181818181818,0.0909090909090909,0.7272727272727273
Riccardo Montolivo,32.77777777777778,39.66666666666666,82.80555555555556,603.2777777777778,182.61111111111111,12.944444444444445,14.5,82.41666666666667,15.27777777777778,17.833333333333332,82.21666666666665,3.611111111111111,5.722222222222222,54.238888888888894,0.0555555555555555,0.0222222222222222,0.05,0.6666666666666666,4.111111111111111,0.6666666666666666,0.0555555555555555,3.611111111111111
Bruno Zuculini,32.375,39.6875,81.02499999999999,577.9375,189.75,14.75,17.1875,86.53125,12.75,15.0625,83.66875,4.1875,5.9375,68.06875,0.0,0.0,0.0,0.125,2.8125,0.0625,0.0,2.25
Mario Sampirisi,26.451612903225808,35.354838709677416,67.43870967741935,506.9354838709677,249.1935483870968,9.225806451612904,10.806451612903226,75.97096774193548,13.838709677419354,16.580645161290324,76.0741935483871,3.032258064516129,7.096774193548387,42.43870967741936,0.0,0.0290322580645161,0.0161290322580645,0.2580645161290322,3.064516129032258,0.5161290322580645,0.2903225806451613,2.903225806451613
Arlind Ajeti,13.428571428571429,17.238095238095237,66.08571428571429,279.2857142857143,128.95238095238096,4.238095238095238,4.9523809523809526,63.61428571428572,6.666666666666667,7.857142857142857,69.02380952380953,2.4285714285714284,4.0,51.61428571428572,0.0476190476190476,0.0428571428571428,0.0380952380952381,0.1904761904761904,0.7619047619047619,0.0476190476190476,0.0,0.8095238095238095
Oliver Kragl,5.4,7.6,65.52000000000001,100.6,45.4,2.2,2.6,50.0,2.4,3.6,60.28,0.8,1.2,43.34,0.0,0.06,0.02,0.6,0.6,0.2,0.0,0.8
Luca Rizzo,12.909090909090908,19.272727272727277,68.35454545454544,198.1818181818182,61.54545454545455,7.363636363636363,9.0,85.46363636363638,4.2727272727272725,5.636363636363637,63.43636363636363,0.8181818181818182,1.818181818181818,48.48181818181818,0.0,0.0818181818181818,0.0545454545454545,0.2727272727272727,1.4545454545454546,0.6363636363636364,0.2727272727272727,1.3636363636363635
Eros Schiavon,7.083333333333333,11.25,56.53333333333333,107.16666666666669,40.333333333333336,3.6666666666666665,4.75,61.66666666666666,2.9166666666666665,4.166666666666667,62.64166666666666,0.25,1.4166666666666667,10.416666666666666,0.0,0.0,0.0,0.0833333333333333,0.6666666666666666,0.0,0.0,0.3333333333333333
Ricardo Centurión,4.333333333333333,7.0,55.56666666666666,51.0,22.33333333333333,3.0,4.0,66.66666666666667,1.0,1.3333333333333333,50.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0333333333333333,0.0,0.0,0.3333333333333333,0.0,1.0
Santiago Gentiletti,54.25,60.5,89.4,1030.5,419.5,19.0,20.0,91.925,30.5,33.0,92.6,4.5,6.75,53.4,0.0,0.0,0.0,0.0,7.5,0.25,0.0,6.0
Raffaele Palladino,17.75,24.0,73.925,329.5,80.5,6.25,7.75,80.4,10.5,12.25,84.575,1.0,3.0,23.225,0.0,0.2,0.15,2.0,0.75,1.25,0.75,1.0
Adel Taarabt,26.681818181818183,34.86363636363637,77.31818181818181,442.3181818181818,99.5909090909091,12.818181818181818,16.09090909090909,79.78181818181818,10.545454545454543,13.409090909090908,79.42727272727274,2.590909090909091,3.5454545454545454,72.19545454545455,0.0909090909090909,0.1181818181818181,0.1136363636363636,1.5454545454545454,2.3181818181818183,1.3636363636363635,0.0454545454545454,3.0454545454545454
Paolo Cannavaro,22.84210526315789,29.36842105263158,64.88421052631578,474.578947368421,212.47368421052636,7.631578947368421,8.68421052631579,73.8421052631579,11.894736842105264,13.36842105263158,73.7421052631579,3.210526315789474,6.894736842105263,38.71052631578947,0.0,0.0,0.0052631578947368,0.1578947368421052,1.947368421052632,0.0526315789473684,0.0,2.0526315789473686
Antonino Ragusa,5.566666666666666,8.466666666666667,62.87,85.63333333333334,26.166666666666668,3.1666666666666665,3.966666666666667,69.40666666666668,1.8,2.9,52.22,0.4,0.9333333333333332,22.42333333333333,0.0333333333333333,0.03,0.0266666666666666,0.3333333333333333,0.4666666666666667,0.2666666666666666,0.1,0.7666666666666667
